eps,min_samples,valid_frame_rate,mean_noise_ratio,mean_silhouette,std_silhouette,mean_db_index,mean_largest_ratio,n_frames_evaluated,n_valid_frames
0.6,7,1.0,0.02560023447163996,0.8207273178083808,0.0886213048240847,0.4985513848728366,0.9501438892260895,500,500
0.6,8,0.998,0.028373620160818055,0.8209492345541686,0.08543783993819123,0.5076890235621033,0.9507727073680986,500,499
0.6,9,0.994,0.033181946697405464,0.824319290903569,0.07718875712344621,0.45162041767853955,0.9510212287196194,500,497
0.7,2,1.0,0.0067427912646069515,0.8516689395197479,0.07684735854190494,0.28216362892971725,0.955335954083685,500,500
0.7,3,1.0,0.011610848291013108,0.8489027370735021,0.0741755572891852,0.35972949917908625,0.955335954083685,500,500
0.7,4,1.0,0.016452339238095248,0.8427384160585477,0.07511822300483674,0.35556490535123864,0.9553163462405477,500,500
0.7,5,1.0,0.01951077216458802,0.8363042067733727,0.07522051550948239,0.379488583102335,0.9551163462405478,500,500
0.7,6,1.0,0.021227198331014187,0.8349020844372764,0.0730291707068077,0.38078517470507894,0.9551163462405478,500,500
0.7,7,1.0,0.022368064296203683,0.8363034963979342,0.07849275769017465,0.456961158135247,0.9548252703439674,500,500
0.7,8,1.0,0.023440156931503336,0.8307466731565842,0.07974526656933305,0.4597629572256027,0.9546962380859028,500,500
0.7,9,0.998,0.025953654746088104,0.8371681142190004,0.0635483538471444,0.38700577666382824,0.9548810000860749,500,499
0.8,2,1.0,0.006502103268956648,0.8562750434870314,0.07040217557065126,0.2819762066191232,0.957293105160418,500,500
0.8,3,1.0,0.010983775901179597,0.852479165779358,0.06846157726886999,0.345109910134158,0.957293105160418,500,500
0.8,4,1.0,0.015779347744186,0.8468768166227357,0.06915933829311083,0.33073271739471244,0.9572613591286719,500,500
0.8,5,1.0,0.01843809074819815,0.8375175354456901,0.07489405848385294,0.35021088538742823,0.9572613591286719,500,500
0.8,6,1.0,0.020467075054159203,0.8354038464279414,0.07374274330489185,0.35390960096763535,0.957181359128672,500,500
0.8,7,1.0,0.02134861115451425,0.836448404753052,0.07969464357226333,0.4351426449205377,0.9571496130969259,500,500
0.8,8,1.0,0.02231127937488664,0.8307758329112164,0.0810727455526125,0.43597997299302177,0.9571300052537886,500,500
0.8,9,0.998,0.024746836013000824,0.83735999698179,0.06487214179566769,0.35962013909975943,0.9573977419140874,500,499
0.9,2,1.0,0.006274451087358683,0.8601155477440859,0.0663593059431808,0.2692828578016362,0.9588097701360109,500,500
0.9,3,1.0,0.010463666077328885,0.8563573370954796,0.06309682040712877,0.33497255614894406,0.9588097701360109,500,500
0.9,4,1.0,0.015078222826525396,0.8520179981313437,0.06182842231797215,0.31139729523674564,0.9588097701360109,500,500
0.9,5,1.0,0.017659343918384765,0.8418164398689735,0.06927581497342031,0.341419554615991,0.9587949553211961,500,500
0.9,6,1.0,0.019693951902992744,0.8401094911397219,0.06800818041701692,0.34181945988095236,0.9587798038060446,500,500
0.9,7,1.0,0.020369828928123505,0.8435536398821116,0.06701899445915165,0.33706874606790754,0.9587798038060446,500,500
0.9,8,1.0,0.021379211441448213,0.8361603558150301,0.06661825995938113,0.339857698054002,0.9587798038060446,500,500
0.9,9,0.998,0.023832121494358267,0.8404630234329303,0.06363917524667907,0.3415557159377027,0.9590979998056559,500,499
